TIEMPO,PALMAS,GUAZU,URUGUAY
2017-03-05,5609.380052711947,10986.720107701436,7182.183057782362
2017-03-06,5627.808874885374,11049.426118257152,7056.65140029744
2017-03-07,5647.1382170986,11113.485579843375,6949.356362042759
2017-03-08,5667.079035058214,11177.954523284436,6891.8069097378575
2017-03-09,5686.980815496868,11241.052109529497,6880.843191968267
2017-03-10,5706.213412062009,11301.185813665985,6912.535813434021
2017-03-11,5724.395797402837,11357.639450883882,6970.7509476320665
2017-03-12,5741.777786594817,11411.642020378025,7038.976137991795
2017-03-13,5757.939972846469,11462.27762443425,7140.0835228595
2017-03-14,5773.392864429571,11511.318117123918,7295.058871701781
2017-03-15,5788.385266389408,11559.589117775542,7464.552182853232
2017-03-16,5803.036355625181,11607.458274676253,7620.48153074633
2017-03-17,5818.001346357341,11657.120250714246,7753.478917705828
2017-03-18,5833.317894908615,11708.702580379202,7843.443069672419
2017-03-19,5847.179556040438,11756.236675484093,7893.761919314001
2017-03-20,5859.710639859544,11799.777726170834,7904.618272652741
2017-03-21,5870.775873159547,11838.509328532318,7907.508296298382
2017-03-22,5879.961696530246,11870.912464026273,7902.623697159583
2017-03-23,5886.984806029305,11895.850744095755,7852.038449573623
2017-03-24,5890.944439064143,11909.99834659431,7743.316313731627
2017-03-25,5891.611398682017,11912.396557058042,7565.703627926651
2017-03-26,5889.89959422368,11906.24304989705,7322.4526772197305
2017-03-27,5885.813330539381,11891.555886587033,7030.040848259547
2017-03-28,5878.762264654955,11866.1074898879,6716.321312746576
2017-03-29,5868.944697428643,11830.594319016876,6399.425072688421
2017-03-30,5856.379723649594,11785.106468737771,6074.436390741572
2017-03-31,5841.600338745472,11731.795263732343,5741.999791621224
2017-04-01,5825.18690699965,11672.862398148487,5430.772615913252
2017-04-02,5807.548341309825,11610.050302527456,5154.156323393512
2017-04-03,5789.090754938921,11545.091376013454,4889.245617849199
2017-04-04,5770.6443563599405,11481.146871728775,4652.453481438783
2017-04-05,5752.5196342717245,11419.368340003104,4492.312032370082
2017-04-06,5734.984263192983,11360.671836627696,4453.23469526705
2017-04-07,5718.117699224172,11305.22636296404,4551.92097969712
2017-04-08,5701.746778017055,11252.342569247112,4783.299322468414
2017-04-09,5686.001269258543,11202.206924750431,5148.78231385462
2017-04-10,5670.879093688957,11154.50337838513,5646.171749052987
2017-04-11,5655.945778778278,11107.514675591849,6260.048509635923
2017-04-12,5641.512268153618,11061.88230540531,6956.106633213469
2017-04-13,5628.091855678815,11018.824911622245,7719.159710621896
2017-04-14,5616.051297178292,10979.422938902388,8531.027686023626
2017-04-15,5605.897567535737,10945.39169018742,9350.48076309
2017-04-16,5597.476184021538,10916.356179569962,10129.598747709048
2017-04-17,5590.812304550061,10892.714241124702,10844.059821358076
2017-04-18,5586.41641367487,10876.72346313859,11510.652473460677
2017-04-19,5584.274001237781,10868.765610565919,12133.665517787089
2017-04-20,5584.209518510906,10868.52300490483,12675.626057949214
2017-04-21,5586.091614246509,10875.673079390433,13095.612436120515
2017-04-22,5589.571109309798,10888.944282093014,13392.581725581009
2017-04-23,5595.079801805213,10909.960955701887,13581.975155866097
2017-04-24,5602.806406167068,10939.439282010271,13672.29706594798
2017-04-25,5612.759197688555,10977.385373017469,13677.145575582923
2017-04-26,5624.876730835971,11023.539913390587,13621.752948933863
2017-04-27,5639.151799337525,11077.865549188347,13534.088480137556
2017-04-28,5655.87546265675,11141.55745903921,13414.889677599142
2017-04-29,5675.385849478155,11216.010523177556,13288.456161061786
2017-04-30,5697.676119395454,11301.188981146131,13172.602613466091
2017-05-01,5722.571378397663,11396.662323793305,13062.71851992881
2017-05-02,5750.238620906366,11503.238887562584,12986.103298597465
2017-05-03,5780.945990705185,11622.273164449818,12954.261582592335
2017-05-04,5814.532944929989,11753.521113933453,12944.492990744298
2017-05-05,5850.914853976983,11896.81604355384,12927.591391439191
2017-05-06,5890.22161541073,12053.160751192121,12928.530227848947
2017-05-07,5932.957076605162,12225.828481430251,12991.343697826384
2017-05-08,5978.8623036153695,12413.690484261826,13117.658588342212
2017-05-09,6027.279270763745,12614.15378812705,13291.531829921292
2017-05-10,6077.553756047565,12824.887859888984,13475.383476256091
2017-05-11,6129.333730598038,13045.27094150071,13640.812711357838
2017-05-12,6181.633962898477,13272.094686782271,13795.498724549381
